Amendment	n.宪法修正案
Cuban	n./adj.古巴人；古巴（人）的
Ford	n.福特汽车公司
Hispanic	adj.西班牙的
Scotch	adj.苏格兰的
abandon	vt.抛弃；放弃 n.放纵；沉溺
abandoned	adj.被抛弃的，废置的
abandonment	n.抛弃；放弃
abbreviate	vt.缩短；缩写
abbreviation	n.缩写；缩写词
abide	vi.遵守 vt.忍受
abiding	adj.持久的
ability	n.能力，才干
ablaze	adj.着火的，闪耀的
abnormal	adj.反常的，变态的
aboard	prep./adv.在（船、飞机、车）上/上（船、飞机、车）
abolish	vt.废除，取消
abolition	n.废除，取消
abolitionist	n.废奴主义者
abort	n.中止计划（任务）
abound	vi.充满；富于
abrasion	n.磨（擦）破；表面磨损
abrasive	adj.研磨的
abrupt	adj.突然的，意外的
absence	n.缺少；不在，缺席
absent	adj.缺少的；不在的，缺席的
absentee	n.缺席者
absenteeism	n.旷课；旷工
absolute	adj.完全的；绝对的
absolutely	adv.完全地；绝对地
absorb	vt.吸收（液体、知识）
absorption	n.吸收
abstract	adj.抽象的 n/vt摘要，提炼
absurd	adj.荒谬的，可笑的
abundance	n.丰富，充裕
abundant	adj.丰富的，充裕的；大量的
abundantly	adv.丰富地
abuse	vt.滥用；虐待
abut	vi.邻接，毗邻
academic	adj.学术的；学院的；理论的
academician	n.学会会员；院士；学者
accelerate	v.加快，加速
accelerated	adj.加速的，迅速的
accelerating	adj.加速的
acceleration	n.加速度
access	n.接触，接近（的机会） n.入口，通道
accessibility	n.易接近；可达到
accessible	adj.可接近的，可接触的；可得到的
accessory	n.附件，零件
accident	n.意外事件，事故
accidental	adj.意外的，偶然的
accidentally	adv.意外地，偶然地
acclaim	n.赞誉，赞许 vt.喝彩，欢呼；称赞
acclaimed	adj.受人欢迎的
accommodate	vt.为提供食宿；与相符，与相适应
accommodating	adj.乐于助人的
accompaniment	n.伴奏
accompany	vt.陪伴，伴随；伴奏
accompanying	adj.陪伴的，伴随的
accomplish	vt.完成，达到，实现
accomplished	adj.精通的，熟练的
accomplishment	n.成就
accordion	n.手风琴
account	n.说明，解释 n.户头，账户 vi.解释
accountant	n.会计员，会计师
accounting	n.会计学
accredit	vt.授权
accumulate	vi.堆积，积聚；积累
accumulation	n.积聚
accuracy	n.准确性，正确性
accurate	adj.准确的，正确的
accusation	n.谴责；控告
accuse	vt.指责，归咎
accustomed	adj.通常的，习惯的
achieve	vt.完成，实现
achievement	n.成就，功绩
acid	n.酸 adj.酸的 adj.尖酸的，刻薄的
acidic	adj.酸的，酸性的
acidity	n.酸度，酸性
acquaint	vt.使熟知，通知
acquaintance	n.相识，熟人
acquainted	adj.有知识的，知晓的
acquire	vt.获得，学到
acquisition	n.获得
acronym	n.首字母缩写词
activate	vt.刺激，使活动
actively	adv.活跃地，积极地
actual	adj.实际的，现行的
actually	adv.实际上，事实上
actuate	vt.开动，促使
acumen	n.敏锐，聪明
acupuncture	n.针刺；针灸
acute	adj.灵敏的，敏锐的 adj.剧烈的；很严重的
adapt	v.（使）适应，调整；改编
adaptable	adj.能适应的，适应能力强的
adaptation	n.改编，改写；适应环境
adaptive	adj.适合的；适应的
addict	vt.使上瘾，使沉溺 n.上瘾的人
addictive	adj.（使人）上瘾的
additional	adj.另外的，附加的，额外的
additive	n.添加剂 adj.加法的
adept	adj.熟练的，拿手的
adequate	adj.足够的，充实的
adhere	vi.黏附，粘牢 vi.追随，坚持
adhesive	n.粘着物 adj.粘着的
adjacent	adj.毗连的，邻近的
adjoin	vt.毗连，邻近
adjoining	adj.毗邻的
adjunct	n.附件，附属
adjust	vt.调整；使适于
adjustment	n.调整
administer	vt.管理
administration	n.经营，管理 n.当局，政府
administrative	adj.管理的；行政的
administrator	n.管理者；行政官
admiration	n.钦佩，赞美
admire	vt.钦佩，崇拜；欣赏
admit	vt.准许进入 vt.承认
admittedly	adv.公认地；诚然，无可否认地
adobe	n.泥砖，土坯
adolescent	n.青少年
adopt	vt.采用，采纳 vt.收养
adoption	n.采用
adorn	vt.装饰
adornment	n.装饰；装饰品
advance	vt.提高，发展；提升 vt.提出 vi.前进 n.前进，进步 n.预先，提前（in advance）
advanced	adj.高级的；年老的；先进的
advancement	n.进展；提升
advent	n.出现，到来
adventure	n.冒险，冒险的经历
adventurer	n.冒险家
adventurous	adj.喜欢冒险的，敢做敢为的
adverse	adj.不利的；敌对的；相反地
adversely	adv.相反地；不利地
adversity	n.不幸，灾难
advocate	n.提倡者，主张者，拥护者 vt.拥护，主张
aerodynamics	n.空气动力学
aesthetic	adj.美学的，审美的
affect	v.影响；假装
affected	adj.装模作样的
affection	n.友爱，挚爱，情爱
affectionate	adj.亲爱的，挚爱的
affective	adj.感情的，表达感情的
affiliate	vt.使隶属；接纳为成员
affinity	n.紧密关系 n.吸引；喜爱
affirm	vt.断言；证实，确认
afflict	vt.（外来到）折磨
affliction	n.痛苦，苦恼
affluent	adj.富有的，丰富的
afford	vt.付得起；冒险做 vt.提供
affordable	adj.负担得起的，便宜的
agenda	n.日程，议程
aggravate	vt.使恶化，使加重
aggravating	adj.恼人的，讨厌的
aggregate	n.总数 n.聚集体
aggregation	n.集合，群体
aggressive	adj.强有力的，坚持己见的 adj.好斗的，有敌意的
aggressiveness	n.侵略；争斗
agile	adj.敏捷的，活泼轻快的
agility	n.敏捷，活泼
agitation	n.焦虑，不安；煽动
agreeable	adj.使人愉快的，合意的 adj.容易相处的
agriculture	n.农业，农艺，农学
ailment	n.疾病（尤指轻病、小病）
aim	n.目标，计划 vi.针对；打算，意欲
air	n.空气，空中 vt.晾干，使通风
airborne	adj.空气传播的；空运的，空降的
aircraft	n.航行器
airsickness	n.晕机
ajar	adj.（门窗等）微开的
akin	adj.同族的；类似的
alchemy	n.炼金术
alder	n.赤杨树
alert	adj.机敏的 vt.警报；使随时掌握、了解 n.警戒，警报
algae	n.海藻
alien	adj.相异的；陌生的
alignment	n.排列；联合，联盟
alike	adj.相同的，相似的
allegation	n.宣称，主张，断言
allegory	n.寓言
alliteration	n.（诗歌的）头韵
allocate	vt.分配
alloy	n.合金 vt.使成合金
allude	vi.暗指，影射，间接提到
ally	n.联盟；同盟者 v.结盟
aloft	adv.在高处；在空中
alone	adj./v.单独的（地）
aloof	adj.远离的；冷淡的，漠不关心的
alter	vt.改变，修改
alteration	n.变更，改造
alternate	adj.交替的，轮流的 adj.替代的 vi.交替，轮流
alternately	adv.交替地，隔一个地
alternation	n.交替，轮流
alternative	adj.另一可选的，另外的 n.可选事物，另一种选择
altitude	n.高度
aluminum	n.铝
amateur	adj.业余的 n.业余爱好者
amaze	vt.使吃惊，使惊叹
amazement	n.惊愕，惊异
amazing	adj.令人惊异的
ambience	n.周围环境，气氛
ambition	n.雄心，抱负
ambitious	adj.有雄心的，渴望成功的
ambivalence	n.矛盾心理
ambivalent	adj.有矛盾情绪的，举棋不定的
amble	vi.缓行，漫步
amenable	adj.顺从的；应服从的
amend	vt.改正，修正
amendment	n.改善，改正
amenity	n.pl.生活福利设施，文娱康乐场所 n.（不可数）愉快，适意
amid	prep.在…中
amnesia	n.健忘症
amount	n.量，总合 vi.总计；等于
ample	adj.富足的，充足的
amplification	n.扩大
amplify	vt.放大；扩大；增强
analogous	adj.类似的
analogy	n.类比，类推 n.类此物
analysis	n.分析；分析报告
analyze	vt.分析，分解
anarchist	n.无政府主义者
anatomy	n.解剖；解剖学
ancestor	n.祖先，祖宗
ancestral	adj.祖先的，祖传的
ancestry	n.家系，血统
anecdotal	adj.轶闻的，多轶闻趣闻的
anecdote	n.短故事，轶事
anesthesia	n.麻醉
anesthetic	n.麻醉剂，麻药
angular	adj.有角的，尖角的
animated	adj.活生生的；活泼的，生动的
annex	vt.兼并，附加
annihilate	vt.消灭；消减
announce	vt.宣布，通告
announcement	n.宣告，发表
announcer	n.广播员；报幕员
annoy	vt.使恼怒；打扰
annoying	adj.恼人的，讨厌的；使人愤怒的
annual	adj.每年的
annually	adv.一年一次，每年
anomaly	n.异常，不规则；异常的人或物
anonymous	adj.匿名的
antedate	vt.填早...的日期
anthem	n.圣歌，赞美诗
anthology	n.诗集，文选
anthropology	n.人类学
antibiotic	adj.抗菌的，抗生的 n.antibiotics 抗生素
anticipate	vt.预期，预料
anticipation	n.期望，预料
antiquate	vt.使古旧，废弃
antiquated	adj.陈旧的，过时的
antique	n.古董 adj.古时的，过时的
antiquity	n.古迹；古物 n.古代 n.古老
antiseptic	n.防腐剂，杀菌剂
anxious	adj.渴望的；担忧的
apologize	vi.道歉
apology	n.道歉，歉意
appeal	n.吸引力 vi.吸引 vi.上诉，申请
appealing	adj.动人的，媚人的
appetite	n.胃口，食欲
applaud	vi.喝彩，欢呼
appliance	n.用具，器具
